,dates,rank,book_name,author,genre,hour,minute
0,2019-11-25,1,해리 포터 시리즈,조앤.K.롤링,영미소설,9,0
1,2019-11-25,2,제왕업,메이위저/zipcy,중국 소설,9,0
2,2019-11-25,3,가재가 노래하는 곳,델리아 오언스,영미소설,9,0
3,2019-11-25,4,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,9,0
4,2019-11-25,5,일의 기쁨과 슬픔,장류진,한국소설,9,0
5,2019-11-25,6,천일야화,앙투안 갈랑,프랑스 소설,9,0
6,2019-11-25,7,어떻게 최고의 나를 만들 것인가,하이디 그랜트 할버슨,성공/삶의자세,9,0
7,2019-11-25,8,12가지 인생의 법칙,조던 B. 피터슨,인문,9,0
8,2019-11-25,9,에이트,이지성,성공/삶의자세,9,0
9,2019-11-25,10,초격차,권오현,경영일반,9,0
10,2019-11-25,11,90년생이 온다,임홍택,경제일반,9,0
11,2019-11-25,12,신경 끄기의 기술,마크 맨슨/두진욱,성공/삶의자세,9,0
0,2019-11-25,1,해리 포터 시리즈,조앤.K.롤링,영미소설,9,20
1,2019-11-25,2,가재가 노래하는 곳,델리아 오언스,영미소설,9,20
2,2019-11-25,3,제왕업,메이위저/zipcy,중국 소설,9,20
3,2019-11-25,4,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,9,20
4,2019-11-25,5,초격차,권오현,경영일반,9,20
5,2019-11-25,6,90년생이 온다,임홍택,경제일반,9,20
6,2019-11-25,7,일의 기쁨과 슬픔,장류진,한국소설,9,20
7,2019-11-25,8,천일야화,앙투안 갈랑,프랑스 소설,9,20
8,2019-11-25,9,어떻게 최고의 나를 만들 것인가,하이디 그랜트 할버슨,성공/삶의자세,9,20
9,2019-11-25,10,에이트,이지성,성공/삶의자세,9,20
10,2019-11-25,11,12가지 인생의 법칙,조던 B. 피터슨,인문,9,20
11,2019-11-25,12,신경 끄기의 기술,마크 맨슨/두진욱,성공/삶의자세,9,20
0,2019-11-25,1,해리 포터 시리즈,조앤.K.롤링,영미소설,9,40
1,2019-11-25,2,가재가 노래하는 곳,델리아 오언스,영미소설,9,40
2,2019-11-25,3,일의 기쁨과 슬픔,장류진,한국소설,9,40
3,2019-11-25,4,초격차,권오현,경영일반,9,40
4,2019-11-25,5,90년생이 온다,임홍택,경제일반,9,40
5,2019-11-25,6,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,9,40
6,2019-11-25,7,제왕업,메이위저/zipcy,중국 소설,9,40
7,2019-11-25,8,12가지 인생의 법칙,조던 B. 피터슨,인문,9,40
8,2019-11-25,9,천일야화,앙투안 갈랑,프랑스 소설,9,40
9,2019-11-25,10,부의 인문학,브라운스톤,재테크/금융/부동산,9,40
10,2019-11-25,11,매일 아침 써봤니?,김민식,성공/삶의자세,9,40
11,2019-11-25,12,영어책 한권 외워봤니?,김민식,성공/삶의자세,9,40
0,2019-11-25,1,에이트,이지성,성공/삶의자세,10,0
1,2019-11-25,2,해리 포터 시리즈,조앤.K.롤링,영미소설,10,0
2,2019-11-25,3,가재가 노래하는 곳,델리아 오언스,영미소설,10,0
3,2019-11-25,4,초격차,권오현,경영일반,10,0
4,2019-11-25,5,영어책 한권 외워봤니?,김민식,성공/삶의자세,10,0
5,2019-11-25,6,신경 끄기의 기술,마크 맨슨/두진욱,성공/삶의자세,10,0
6,2019-11-25,7,죽여 마땅한 사람들,피터 스완슨,영미소설,10,0
7,2019-11-25,8,마션,앤디 위어,영미소설,10,0
8,2019-11-25,9,페이크 FAKE,로버트 기요사키,재테크/금융/부동산,10,0
9,2019-11-25,10,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,10,0
10,2019-11-25,11,포노 사피엔스,최재붕,경영일반,10,0
11,2019-11-25,12,12가지 인생의 법칙,조던 B. 피터슨,인문,10,0
0,2019-11-25,1,에이트,이지성,성공/삶의자세,10,20
1,2019-11-25,2,가재가 노래하는 곳,델리아 오언스,영미소설,10,20
2,2019-11-25,3,해리 포터 시리즈,조앤.K.롤링,영미소설,10,20
3,2019-11-25,4,초격차,권오현,경영일반,10,20
4,2019-11-25,5,영어책 한권 외워봤니?,김민식,성공/삶의자세,10,20
5,2019-11-25,6,12가지 인생의 법칙,조던 B. 피터슨,인문,10,20
6,2019-11-25,7,신경 끄기의 기술,마크 맨슨/두진욱,성공/삶의자세,10,20
7,2019-11-25,8,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,10,20
8,2019-11-25,9,죽여 마땅한 사람들,피터 스완슨,영미소설,10,20
9,2019-11-25,10,눈물을 마시는 새,이영도,국내 판타지 소설,10,20
10,2019-11-25,11,앞으로 3년 경제전쟁의 미래,오건영,경영일반,10,20
11,2019-11-25,12,아주 작은 반복의 힘,로버트 마우어,성공/삶의자세,10,20
0,2019-11-25,1,해리 포터 시리즈,조앤.K.롤링,영미소설,10,40
1,2019-11-25,2,트렌드 코리아 2020,김난도,마케팅/세일즈,10,40
2,2019-11-25,3,가재가 노래하는 곳,델리아 오언스,영미소설,10,40
3,2019-11-25,4,사피엔스,유발 하라리,인문,10,40
4,2019-11-25,5,제왕업,메이위저/zipcy,중국 소설,10,40
5,2019-11-25,6,일의 기쁨과 슬픔,장류진,한국소설,10,40
6,2019-11-25,7,에이트,이지성,성공/삶의자세,10,40
7,2019-11-25,8,직지,김진명,한국소설,10,40
8,2019-11-25,9,검사내전,김웅,정치/사회,10,40
9,2019-11-25,10,90년생이 온다,임홍택,경제일반,10,40
10,2019-11-25,11,부의 인문학,브라운스톤,재테크/금융/부동산,10,40
11,2019-11-25,12,포노 사피엔스,최재붕,경영일반,10,40
0,2019-11-25,1,해리 포터 시리즈,조앤.K.롤링,영미소설,11,0
1,2019-11-25,2,가재가 노래하는 곳,델리아 오언스,영미소설,11,0
2,2019-11-25,3,사피엔스,유발 하라리,인문,11,0
3,2019-11-25,4,제왕업,메이위저/zipcy,중국 소설,11,0
4,2019-11-25,5,트렌드 코리아 2020,김난도,마케팅/세일즈,11,0
5,2019-11-25,6,일의 기쁨과 슬픔,장류진,한국소설,11,0
6,2019-11-25,7,아주 작은 습관의 힘,제임스 클리어,성공/삶의자세,11,0
7,2019-11-25,8,부의 인문학,브라운스톤,재테크/금융/부동산,11,0
8,2019-11-25,9,아주 작은 반복의 힘,로버트 마우어,성공/삶의자세,11,0
9,2019-11-25,10,90년생이 온다,임홍택,경제일반,11,0
10,2019-11-25,11,죽여 마땅한 사람들,피터 스완슨,영미소설,11,0
11,2019-11-25,12,에이트,이지성,성공/삶의자세,11,0
0,2019-11-25,1,가재가 노래하는 곳,델리아 오언스,영미소설,11,20
1,2019-11-25,2,해리 포터 시리즈,조앤.K.롤링,영미소설,11,20
2,2019-11-25,3,포노 사피엔스,최재붕,경영일반,11,20
3,2019-11-25,4,일의 기쁨과 슬픔,장류진,한국소설,11,20
4,2019-11-25,5,90년생이 온다,임홍택,경제일반,11,20
5,2019-11-25,6,트렌드 코리아 2020,김난도,마케팅/세일즈,11,20
6,2019-11-25,7,아주 작은 반복의 힘,로버트 마우어,성공/삶의자세,11,20
7,2019-11-25,8,제왕업,메이위저/zipcy,중국 소설,11,20
8,2019-11-25,9,사피엔스,유발 하라리,인문,11,20
9,2019-11-25,10,12가지 인생의 법칙,조던 B. 피터슨,인문,11,20
10,2019-11-25,11,직지,김진명,한국소설,11,20
11,2019-11-25,12,초격차,권오현,경영일반,11,20
0,2019-11-25,1,해리 포터 시리즈,조앤.K.롤링,영미소설,11,40
1,2019-11-25,2,가재가 노래하는 곳,델리아 오언스,영미소설,11,40
2,2019-11-25,3,트렌드 코리아 2020,김난도,마케팅/세일즈,11,40
3,2019-11-25,4,90년생이 온다,임홍택,경제일반,11,40
4,2019-11-25,5,아주 작은 반복의 힘,로버트 마우어,성공/삶의자세,11,40
5,2019-11-25,6,일의 기쁨과 슬픔,장류진,한국소설,11,40
6,2019-11-25,7,직지,김진명,한국소설,11,40
7,2019-11-25,8,영어책 한권 외워봤니?,김민식,성공/삶의자세,11,40
8,2019-11-25,9,제왕업,메이위저/zipcy,중국 소설,11,40
9,2019-11-25,10,테메레르,나오미 노빅,영미소설,11,40
10,2019-11-25,11,에이트,이지성,성공/삶의자세,11,40
11,2019-11-25,12,나는 농담으로 과학을 말한다,오후,과학일반,11,40
0,2019-11-25,1,해리 포터 시리즈,조앤.K.롤링,영미소설,12,0
1,2019-11-25,2,90년생이 온다,임홍택,경제일반,12,0
2,2019-11-25,3,가재가 노래하는 곳,델리아 오언스,영미소설,12,0
3,2019-11-25,4,제왕업,메이위저/zipcy,중국 소설,12,0
4,2019-11-25,5,사피엔스,유발 하라리,인문,12,0
5,2019-11-25,6,일의 기쁨과 슬픔,장류진,한국소설,12,0
6,2019-11-25,7,지금 바로 돈 버는 기술,김정환(창업다마고치),마케팅/세일즈,12,0
7,2019-11-25,8,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,12,0
8,2019-11-25,9,테메레르,나오미 노빅,영미소설,12,0
9,2019-11-25,10,죽여 마땅한 사람들,피터 스완슨,영미소설,12,0
10,2019-11-25,11,검사내전,김웅,정치/사회,12,0
11,2019-11-25,12,댄 애리얼리 부의 감각,댄 애니얼리/제프 크라이슬러,경제일반,12,0
0,2019-11-25,1,해리 포터 시리즈,조앤.K.롤링,영미소설,12,20
1,2019-11-25,2,가재가 노래하는 곳,델리아 오언스,영미소설,12,20
2,2019-11-25,3,90년생이 온다,임홍택,경제일반,12,20
3,2019-11-25,4,일의 기쁨과 슬픔,장류진,한국소설,12,20
4,2019-11-25,5,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,12,20
5,2019-11-25,6,사피엔스,유발 하라리,인문,12,20
6,2019-11-25,7,죽여 마땅한 사람들,피터 스완슨,영미소설,12,20
7,2019-11-25,8,제왕업,메이위저/zipcy,중국 소설,12,20
8,2019-11-25,9,초격차,권오현,경영일반,12,20
9,2019-11-25,10,드래곤 라자,이영도,국내 판타지 소설,12,20
10,2019-11-25,11,영어책 한권 외워봤니?,김민식,성공/삶의자세,12,20
11,2019-11-25,12,지금 바로 돈 버는 기술,김정환(창업다마고치),마케팅/세일즈,12,20
0,2019-11-25,1,가재가 노래하는 곳,델리아 오언스,영미소설,12,40
1,2019-11-25,2,해리 포터 시리즈,조앤.K.롤링,영미소설,12,40
2,2019-11-25,3,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,12,40
3,2019-11-25,4,일의 기쁨과 슬픔,장류진,한국소설,12,40
4,2019-11-25,5,90년생이 온다,임홍택,경제일반,12,40
5,2019-11-25,6,넛지 Nudge,리처드 H. 탈러/카스 R. 선스타인,경제일반,12,40
6,2019-11-25,7,죽여 마땅한 사람들,피터 스완슨,영미소설,12,40
7,2019-11-25,8,사피엔스,유발 하라리,인문,12,40
